,Polarization_bool,retweetCount
699,-1,2179.0
700,1,962.0
701,1,518.0
702,-1,1282.0
703,1,512.0
704,-1,355.0
705,-1,1792.0
706,1,601.0
707,-1,1898.0
708,0,1337.0
709,1,297.0
710,-1,1983.0
711,-1,504.0
712,1,891.0
713,-1,1654.0
714,-1,4692.0
715,0,1443.0
716,-1,961.0
717,-1,1649.0
718,1,5106.0
719,1,1350.0
720,1,435.0
721,-1,275.0
722,-1,743.0
723,1,499.0
724,-1,12810.0
725,1,5361.0
726,0,607.0
727,1,1233.0
728,1,7572.0
729,-1,293.0
730,0,9131.0
731,-1,480.0
732,1,235.0
733,1,4304.0
734,1,297.0
735,-1,1562.0
736,-1,461.0
737,1,580.0
738,1,735.0
739,-1,1324.0
740,1,662.0
741,1,653.0
742,1,2700.0
743,1,746.0
744,1,733.0
745,1,727.0
746,-1,4991.0
747,0,2276.0
748,-1,2871.0
749,1,1901.0
750,1,1230.0
751,-1,657.0
752,0,1216.0
753,1,359.0
754,-1,9640.0
755,-1,9428.0
756,0,552.0
757,-1,524.0
758,0,5199.0
759,1,1534.0
760,-1,671.0
761,1,4756.0
762,-1,720.0
763,1,589.0
764,-1,1553.0
765,0,9830.0
766,1,1156.0
767,0,410.0
768,-1,1096.0
769,1,956.0
770,1,1536.0
771,-1,466.0
772,-1,4857.0
773,0,507.0
774,0,888.0
775,-1,2929.0
776,1,449.0
777,-1,2637.0
778,1,1931.0
779,-1,2341.0
780,1,336.0
781,-1,216.0
782,1,463.0
783,0,369.0
784,1,464.0
785,1,1965.0
786,1,856.0
787,0,4681.0
788,-1,906.0
789,1,825.0
790,-1,259.0
791,1,5078.0
792,0,423.0
793,0,394.0
794,0,3911.0
795,1,195.0
796,1,4195.0
797,-1,466.0
798,0,1372.0
799,1,1736.0
800,-1,976.0
801,-1,669.0
802,1,2592.0
803,1,605.0
804,1,405.0
805,-1,4144.0
806,1,1022.0
807,0,210.0
808,1,2110.0
809,-1,825.0
810,-1,841.0
811,1,8909.0
812,1,5594.0
813,-1,521.0
814,1,2240.0
815,1,1119.0
816,0,843.0
817,1,1219.0
818,0,481.0
819,1,3337.0
820,1,2479.0
821,-1,478.0
822,-1,778.0
823,-1,1756.0
824,-1,958.0
825,1,4012.0
826,0,605.0
827,0,512.0
828,-1,1236.0
