,Polarization_bool,retweetCount
746,-1,4991
747,0,2276
748,-1,2871
749,1,1901
750,1,1230
751,-1,657
752,0,1216
753,1,359
754,-1,9640
755,-1,9428
756,0,552
757,-1,524
758,0,5199
759,1,1534
760,-1,671
761,1,4756
762,-1,720
763,1,589
764,-1,1553
765,0,9830
766,1,1156
767,0,410
768,-1,1096
769,1,956
770,1,1536
771,-1,466
772,-1,4857
773,0,507
774,0,888
775,-1,2929
776,1,449
777,-1,2637
778,1,1931
779,-1,2341
780,1,336
781,-1,216
782,1,463
783,0,369
784,1,464
785,1,1965
786,1,856
787,0,4681
788,-1,906
789,1,825
790,-1,259
791,1,5078
792,0,423
793,0,394
794,0,3911
795,1,195
796,1,4195
797,-1,466
798,0,1372
799,1,1736
800,-1,976
801,-1,669
802,1,2592
803,1,605
804,1,405
805,-1,4144
806,1,1022
807,0,210
808,1,2110
809,-1,825
810,-1,841
811,1,8909
812,1,5594
813,-1,521
814,1,2240
815,1,1119
816,0,843
817,1,1219
818,0,481
819,1,3337
820,1,2479
821,-1,478
822,-1,778
823,-1,1756
824,-1,958
825,1,4012
826,0,605
827,0,512
828,-1,1236
829,1,2090
830,1,530
831,0,510
832,1,1389
833,0,393
834,1,7469
835,1,1461
836,1,190
837,-1,2844
838,1,5112
839,0,693
840,1,1080
841,1,455
842,1,760
843,0,651
844,1,547
845,-1,776
846,-1,3161
847,1,192
848,-1,3772
849,1,188
850,1,1519
851,0,182
852,1,615
853,1,954
854,1,419
855,1,1104
856,-1,507
857,1,452
858,-1,892
859,1,448
860,1,904
861,1,526
862,-1,699
863,-1,2211
864,1,3066
865,1,858
866,1,671
867,1,1190
868,-1,389
869,-1,1016
870,1,366
871,1,1505
872,1,1390
873,1,1222
874,1,1279
875,1,258
876,-1,1168
877,1,5233
878,1,493
879,1,401
880,-1,6177
881,1,1153
882,-1,464
883,-1,1898
884,-1,823
885,-1,2183
886,1,817
887,0,3808
888,1,2081
889,-1,989
890,-1,729
891,-1,4623
892,0,1728
893,-1,3790
894,-1,287
895,1,1734
896,-1,1192
897,-1,917
898,-1,471
899,-1,7938
900,0,441
901,-1,964
902,0,314
903,1,1668
904,-1,5111
905,1,445
906,-1,940
907,0,3029
908,-1,921
909,1,4672
910,-1,747
911,-1,1650
912,-1,3979
913,1,688
914,0,420
915,-1,203
916,-1,2721
917,-1,3507
918,1,574
919,1,545
920,1,1083
921,1,965
922,1,816
923,-1,481
924,-1,1187
925,-1,1375
926,1,2267
927,1,1086
928,-1,27966
929,-1,887
930,0,392
931,-1,451
932,0,761
933,0,1135
934,1,1069
935,1,903
936,-1,3659
937,-1,12342
938,1,722
939,-1,528
940,-1,1070
941,1,448
942,1,1396
943,1,5211
944,-1,969
945,-1,854
946,-1,400
947,1,1584
948,1,292
949,0,859
950,-1,3839
951,-1,142
952,-1,2456
953,-1,740
954,-1,494
955,1,264
956,1,884
957,1,5369
958,-1,355
959,-1,755
960,0,22571
961,-1,1909
962,1,2831
963,0,889
964,-1,935
965,-1,901
966,0,661
967,-1,1166
968,1,2561
969,1,1077
970,0,727
971,1,539
972,1,3055
973,1,789
974,1,299
975,-1,651
976,0,6012
977,0,2053
978,-1,783
979,1,427
980,-1,285
981,-1,1233
982,-1,1546
983,-1,2226
984,1,514
985,1,418
986,-1,1340
987,-1,2287
988,1,903
989,1,1250
990,1,385
991,1,3658
992,1,263
993,1,290
994,1,809
995,-1,291
996,-1,1244
997,1,1207
998,-1,823
999,-1,1246
1000,0,306
1001,1,1101
1002,-1,370
1003,0,364
1004,1,690
1005,-1,8654
1006,-1,434
1007,1,147
1008,0,543
1009,1,489
1010,-1,3567
1011,1,785
1012,1,556
1013,1,6599
1014,-1,1750
1015,-1,195
1016,-1,803
1017,1,327
1018,0,824
1019,1,3194
1020,1,1054
1021,-1,1230
1022,-1,477
1023,0,197
1024,1,562
1025,-1,16092
1026,0,967
1027,1,206
1028,1,957
1029,1,3212
1030,0,568
1031,1,3291
1032,1,1260
1033,0,1445
1034,0,318
1035,1,3834
1036,-1,1024
1037,1,685
1038,-1,543
1039,-1,1930
1040,0,371
1041,-1,705
1042,1,1441
1043,0,770
1044,-1,523
1045,-1,339
1046,1,4121
