Tweet_number,rawContent,timestamp,ID,replyCount,retweetCount,likeCount
58,Mar-A-Lago Members Happy Trump Will Be Gone New Year’s Eve: ‘It’s A More Pleasant Club When Trump Isn’t Here’ https://t.co/HUALuXk2zV,2018-12-31 17:52:47+00:00,1.08E+18,158,417,1075
59,"In 2020, the most formidable candidates against President Trump and his far-right nationalism will be those who unify the left, center and pro-liberty right.",2018-12-31 17:51:52+00:00,1.08E+18,319,713,4236
60,"Boom!  Keep your eyes on this one.  It's like the stealth bomber no one sees until it's too late.  Sam Patten was funnelin' Russian money to Trump's inauguration coffers.  His cooperation will blow another hole in the Trumptanic.

https://t.co/TJOP9MFvGN",2018-12-31 17:16:58+00:00,1.08E+18,93,1792,3539
61,"For me… the fires, mudslides, evacuations, relocation, shootings, a scary family illness and all the Trump madness made 2018 a year to forget.
Having said that… I’m ready for more Trump ass kicking in the New Year!!

2019… the year we get him booted from office.

Who’s in?",2018-12-31 17:09:15+00:00,1.08E+18,419,796,6120
62,"Atiku's spokesperson, Segun Showunmi stole Donald Trump’s message and passed it off as his. He couldn’t even edit the ‘America’ in trump’s message to ‘Nigeria’ in his. 

According to my friend, Mohd, “they steal money and still steal intellectual properties... A thief is a thief” https://t.co/5XqA0susGy",2018-12-31 17:05:25+00:00,1.08E+18,451,1420,1653
63,"Interesting. Government just filed a joint status report under seal for Sam Patten, a Manafort/Kilimnik associate who pleaded guilty in August to failing to register as a foreign agent and admitted to steering foreign funds to Trump's inaugural. He's been cooperating ever since. https://t.co/pgedX5KtcE",2018-12-31 16:58:25+00:00,1.08E+18,206,3354,6746
64,"BREAKING: House Democrats have prepared six bills that would reopen the government. They plan to pass all of them on Thursday night. It is then up to the Trump and the Republican Party to do their jobs, for once. It does not include any funding for a wall. Not one dime. Good.",2018-12-31 16:58:12+00:00,1.08E+18,530,7521,26968
65,"I get the feeling 2019 is going to be a great year, with a lot of positive changes!

What do you think?

All bad for Trump...",2018-12-31 16:51:22+00:00,1.08E+18,157,248,2040
66,"⚡️ Since the U.S. election, @ddale8 has kept track of every word Trump has said. A Twitter champion, he is precise, quick, and works around the clock to keep people informed. 

He'll be sending us off into 2019 with his top stories of this year.

https://t.co/T9FNgKZy7K",2018-12-31 16:48:37+00:00,1.08E+18,186,510,1628
67,"Have you noticed that no matter how low Trump goes, no matter how much he lies, no matter how much he attacks Americans, he never loses his supporters?
Just like a cult of Hitler supporters...",2018-12-31 16:46:37+00:00,1.08E+18,220,545,2377
68,"This VIDEO Of Trump Talking About Who is Paying for The Wall Should be Retweeted every single day of the Government shutdown

https://t.co/T5zz0cR20l",2018-12-31 16:39:57+00:00,1.08E+18,487,9530,8881
69,John Kelly should’ve quit and gone public the second Trump did something crazy. But he didn’t. All he did was try to look disappointed in public once in a while. Clear PR stunts. He’s complicit with everything. And to blame for a lot of it. He’s just another accomplice.,2018-12-31 16:37:03+00:00,1.08E+18,76,572,2211
70,"Trump tweeted at 10:37AM: ""I'm in the Oval Office.""

The pool report, at 11:02AM, said: ""No Marine posted outside of the West Wing as of 11am.""

When the president is in West Wing (in the Oval, for example) a Marine always stands guard. No Marine means no Trump.",2018-12-31 16:35:04+00:00,1.08E+18,1792,7710,30605
71,"Trump has made many blunders re: wall, incl. his claim that Mexico would pay, his rejection of the Dems offer of DACA fix for wall $$ &amp; his saying he’d take blame for shutdown. Now, though, he’s cut his funding demand in half &amp; Dems countered with less than their previous offer.",2018-12-31 16:32:15+00:00,1.08E+18,1007,218,1093
72,Ahh no. Trump says “An all concrete Wall was NEVER ABANDONED”.  $5B and a gov’t shutdown is a lot to pay for a metaphor. Perhaps spending $5B we don’t have and shutting down the governement has become a metaphor for incompetence...just sayin’.,2018-12-31 16:29:49+00:00,1.08E+18,171,888,3800
73,"I’m not giving Elizabeth Warren a pass on her anti-Indigenous fuckshit and neither should you. 

“But we have to beat Trump!” 

BUT SHE COULD JUST APOLOGIZE AND DO BETTER! 

The choices are not “anti-Indigenous fuckshit” or “Trump.” Don’t believe the hype.",2018-12-31 16:28:13+00:00,1.08E+18,82,530,2944
74,"In a recent interview, John Kelly says Trump ignores his advisors and their advice. ""The president just wants to make a decision based on no knowledge and ignorance."" https://t.co/Y4vyevJB3F",2018-12-31 16:17:44+00:00,1.08E+18,97,598,1193
75,"Trump Caught In Blatant Lie Claiming He Was Working In Oval Office
https://t.co/hL6Dwqb7BW",2018-12-31 16:14:43+00:00,1.08E+18,412,1307,2820
76,"It doesn’t matter whether it’s Elizabeth Warren, Stacey Abrams, Bernie Sanders, Beto O’Rourke, Kamala Harris, Joe Biden, or literally anyone else. Whoever becomes the 2020 Democratic presidential nominee is infinitely better than Trump and we shall never be divided ever again.",2018-12-31 16:08:18+00:00,1.08E+18,382,1479,8494
77,"WISHING EVERYONE A HAPPY HEALTHY NEW YEAR❗

🎉LET'S HAVE SOME NEW YEARS FUN AT 45's EXPENSE❗

WHAT KIND OF JOB DO YOU SEE TRUMP &amp; PENCE HAVING AFTER they leave or get THROWN OUT of the WH.

🔮Share what you think their new job would be.
🔮Then tag friends to do the same.
🔮RT",2018-12-31 16:06:07+00:00,1.08E+18,484,260,703
78,"WHO'S GONNA PAY FOR THE WALL?

Trump: Who's gonna pay for the wall?
#MAGAts: Mexico!
Trump: Who?
#MAGAts: Mexico!
Trump: 100%! 100%!

OOPS....😂😂😂
https://t.co/JM493s1ESf",2018-12-31 16:05:48+00:00,1.08E+18,129,600,893
79,"It’s incredible how Trump could use his ridiculous sound bite that “Mexico would pay for his big, beautiful wall”. Mexico is not. They won’t pay for metal slats either. What is immoral, is lying to and playing the American people for fools. Even if some are willing participants.",2018-12-31 16:04:31+00:00,1.08E+18,421,2187,8976
80,"Yes Chief @SenWarren please please run in 2020! Make it so much easier for Trump to be re-elected! If you want to make it even easier, pick Crooked @HillaryClinton as your running mate.",2018-12-31 16:02:52+00:00,1.08E+18,997,1109,7063
81,It’s amazing how boring and predictable Trump’s tweets have become.,2018-12-31 15:50:45+00:00,1.08E+18,69,128,994
82,"John Kelly was known to tell aides that he had the ""worst job in the world,"" and frequently told people that Trump was not up to role of president, two former administration officials tell NYT. https://t.co/PfptH7sBd5",2018-12-31 15:50:44+00:00,1.08E+18,109,456,1048
83,"As Democrats start to jump in for 2020, some advice:

It’s ok to have a favorite or two in this race - but don’t get too attached. In a crowded field, there are many possible nominees. We all must prepare to fall in lock-step behind Trump’s challenger. 
https://t.co/VflvxbeiHU",2018-12-31 15:49:04+00:00,1.08E+18,223,780,2789
84,"💥BREAKING NEWS💥 Is Paul Whelan, who was just arrested in Moscow 'while on a spy mission,' a plant sent by Trump so he can trade him for Maria Butina⁉️🤔 cc ⁦@MingGao26⁩  https://t.co/F9DWJ40OnL",2018-12-31 15:45:00+00:00,1.08E+18,121,776,1081
85,"For the New Year we should all make a resolution to use the right words about Trump.

Trump doesn't tell ""falsehoods.""

He doesn't make ""factually incorrect statements.""

He doesn't make ""statements inconsistent with facts.""

Let's all say it together.  ""Trump Lies!""",2018-12-31 15:34:07+00:00,1.08E+18,281,2247,7570
86,"Tea Pain's gonna repeat himself.  The number one goal of the Dems should be to defeat Trump in 2020 should he escape impeachment.  

If Joe Biden vowed to serve only one term and picked a young Dem superstar like Beto or Kamala Harris for VP, it would be a tough ticket to beat.",2018-12-31 15:27:51+00:00,1.08E+18,870,2874,12960
87,"So annoying how left always worries what right will say about their candidates. You think the right ever gives a sh*t about how the left will react to their candidates? I mean, the GOP nominated Donald effing Trump in 2016! You think they were worrying, ‘What will the Dems say?’",2018-12-31 15:24:43+00:00,1.08E+18,155,869,4653
88,"@realDonaldTrump Failed Generals?

FAILED GENERALS.??

You are out of your fucking mind. The worst failure in American History is Donald J Trump, aka Individual 1, aka Traitor Tot.

RESIGN you failed fat fucker.",2018-12-31 15:21:56+00:00,1.08E+18,143,335,1720
89,"Depends on what nation he's talking about. 

Trump: I Should Be a ‘National Hero’ https://t.co/UmBKk1Rjsr via @thedailybeast",2018-12-31 15:13:48+00:00,1.08E+18,740,644,2982
90,"Trump says “many” federal employees support the shutdown. Of the 800,000 now going without paychecks, probably close to 3.  

https://t.co/YNU1wdCVmq",2018-12-31 15:07:13+00:00,1.08E+18,114,562,1753
91,"My 2018 moron list:

Theresa May ✅
Vince Cable ✅
Lord Sugar ✅
Piers Morgan ✅
Katie Hopkins ✅
Tommy Robinson ✅
Julie Hartley-Brewer ✅
Nigel Farage ✅
David Davis ✅
Jacob Rees-Mogg ✅
Donald Trump ✅
Richard Branson ✅
Dominic Rab ✅
Chris Grayling ✅
Chuka Umunna ✅",2018-12-31 15:04:59+00:00,1.08E+18,364,671,3538
92,👇🏽 This is the likely scenario to get Whalen out of Russian detention. Trump will definitely do it.,2018-12-31 15:04:36+00:00,1.08E+18,102,744,1633
93,"On average, Trump made 15 false claims per day in 2018, according to the Washington Post
https://t.co/saC6nxrhzu",2018-12-31 15:01:00+00:00,1.08E+18,153,417,773
94,"Elizabeth Warren, Joe Biden, Beto O’Rourke, Kamala Harris, Bernie Sanders. Doesn’t matter to me. Any of them are 100 times better than Donald Trump",2018-12-31 14:54:44+00:00,1.08E+18,98,165,1121
